Pipeline,Gesture,Frames,Total (ms),Classifier (ms),Preprocessing (ms)
SVM linear (landmark stats),Point-2f,10,96.17168320182827,0.3583041012461763,95.8133791005821
SVM linear (landmark stats),Zoom-out,56,530.9043127017503,0.3609208004490938,530.5433919013012
SVM linear (landmark stats),Zoom-out,110,1045.7702000021527,0.366716600547079,1045.4034834016056
SVM linear (landmark stats),Point-2f,216,2061.8065084949194,0.3718294006830547,2061.4346790942363
SVM linear (landmark stats),Point-2f,650,6420.887166897592,0.3876083981595002,6420.499558499432
BiLSTM (landmark seq),Point-2f,10,95.25861250149319,0.7408418008708395,94.51777070062235
BiLSTM (landmark seq),Zoom-out,56,527.9736836004304,2.7257918001851067,525.2478918002453
BiLSTM (landmark seq),Zoom-out,110,1043.4988247041474,2.917570800491376,1040.581253903656
BiLSTM (landmark seq),Point-2f,216,2035.8959498989861,2.8920040997036267,2033.0039457992825
BiLSTM (landmark seq),Point-2f,650,6661.101979500381,3.026691699778894,6658.075287800602
3D CNN (video pixels),Point-2f,10,38.70880009926623,35.692829199979315,3.0159708992869128
3D CNN (video pixels),Zoom-out,56,42.906053999467986,39.45330830028979,3.4527456991781946
3D CNN (video pixels),Zoom-out,110,43.62378760051797,40.09420829897863,3.529579301539343
3D CNN (video pixels),Point-2f,216,44.135825000557816,40.529975100798765,3.6058498997590505
3D CNN (video pixels),Point-2f,650,44.28818759843125,40.71589999948628,3.5722875989449676
