experiment,value,val_accuracy,params
hidden_size,64,0.7877758913412564,206733
hidden_size,128,0.8234295415959253,674701
hidden_size,256,0.8285229202037352,2397069
num_layers,1,0.769100169779287,279437
num_layers,2,0.8234295415959253,674701
num_layers,3,0.8234295415959253,1069965
dropout,0.2,0.8217317487266553,674701
dropout,0.3,0.8234295415959253,674701
dropout,0.5,0.7792869269949066,674701
learning_rate,0.001,0.8234295415959253,674701
learning_rate,0.0005,0.8081494057724957,674701
learning_rate,0.0001,0.7538200339558574,674701
T_fixed,30,0.8081494057724957,674701
T_fixed,60,0.8234295415959253,674701
T_fixed,120,0.7928692699490663,674701
velocity_features,False,0.7724957555178268,610189
velocity_features,True,0.8234295415959253,674701
