number,value,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_num_layers,params_rnn_type,params_t_fixed,params_use_velocity,state
0,0.7877758913412564,True,0.4,64,0.0011114989443094978,3,gru,60,True,COMPLETE
1,0.769100169779287,True,0.2,128,0.000471705203762518,1,gru,30,True,COMPLETE
2,0.6774193548387096,False,0.4,64,0.00044684675025045853,1,lstm,60,True,COMPLETE
3,0.7606112054329371,False,0.5,128,0.0007641361869233315,3,lstm,30,False,COMPLETE
4,0.801358234295416,True,0.1,128,0.002869139536545374,3,lstm,30,True,COMPLETE
5,0.7113752122241087,False,0.1,128,0.0002879775265707035,1,gru,60,True,COMPLETE
6,0.6723259762308998,True,0.1,64,0.00014433402406338895,2,gru,60,False,COMPLETE
7,0.8234295415959253,True,0.5,128,0.0008622121759478739,3,gru,30,True,COMPLETE
8,0.8200339558573854,True,0.1,256,0.0005681142678077594,3,gru,30,False,COMPLETE
9,0.4159592529711375,True,0.2,64,0.0002634777514406047,2,gru,60,False,PRUNED
10,0.3684210526315789,False,0.5,256,0.0021914469472126626,2,lstm,120,True,PRUNED
11,0.8149405772495756,True,0.30000000000000004,256,0.0010757597217552956,3,gru,30,False,COMPLETE
12,0.8234295415959253,True,0.30000000000000004,256,0.0014728562654282593,3,gru,30,False,COMPLETE
13,0.797962648556876,True,0.4,256,0.0015067950370584494,2,gru,120,False,COMPLETE
14,0.8488964346349746,True,0.30000000000000004,256,0.001564975805998625,3,gru,30,True,COMPLETE
15,0.8200339558573854,True,0.30000000000000004,128,0.0007719289665277979,3,gru,30,True,COMPLETE
16,0.7419354838709677,True,0.5,128,0.0019147176302708603,2,gru,30,True,PRUNED
17,0.8760611205432938,True,0.2,256,0.0009931763996378546,3,gru,120,True,COMPLETE
18,0.5568760611205433,False,0.2,256,0.0014080230044268744,2,lstm,120,True,PRUNED
19,0.8590831918505942,True,0.2,256,0.0028005622798381188,3,gru,120,True,COMPLETE
20,0.8556876061120543,True,0.2,256,0.002860956403570962,3,gru,120,True,COMPLETE
21,0.7028862478777589,True,0.2,256,0.0028459652408442085,3,gru,120,True,PRUNED
22,0.8556876061120543,True,0.2,256,0.0022590936926117113,3,gru,120,True,COMPLETE
23,0.7164685908319185,True,0.2,256,0.00270535307638522,3,gru,120,True,PRUNED
24,0.8709677419354839,True,0.2,256,0.0019202261516019473,3,gru,120,True,COMPLETE
25,0.8794567062818336,True,0.30000000000000004,256,0.0019138985735058615,3,gru,120,True,COMPLETE
26,0.5042444821731749,False,0.30000000000000004,256,0.0012423703670991378,2,lstm,120,True,PRUNED
27,0.8794567062818336,True,0.30000000000000004,256,0.0009012742306774589,3,gru,120,True,COMPLETE
28,0.6926994906621392,True,0.4,256,0.0006277473954853007,3,gru,120,True,PRUNED
29,0.6621392190152802,True,0.4,64,0.0009964599356548382,3,gru,120,True,PRUNED
30,0.5942275042444821,True,0.30000000000000004,256,0.0003338601478966087,2,gru,120,True,PRUNED
31,0.8556876061120543,True,0.30000000000000004,256,0.0018313109838122294,3,gru,120,True,COMPLETE
32,0.8777589134125636,True,0.30000000000000004,256,0.0011461769400683587,3,gru,120,True,COMPLETE
33,0.8964346349745331,True,0.30000000000000004,256,0.0009656520212777109,3,gru,120,True,COMPLETE
34,0.4770797962648557,True,0.4,64,0.0005783469912025157,3,gru,120,True,PRUNED
35,0.5738539898132428,False,0.30000000000000004,256,0.0012140215192930597,3,lstm,120,True,PRUNED
36,0.7045840407470289,True,0.30000000000000004,256,0.00046723995653646927,3,gru,60,True,PRUNED
37,0.5874363327674024,True,0.30000000000000004,256,0.000692690991286081,1,lstm,120,True,PRUNED
38,0.4363327674023769,False,0.4,64,0.0008529102049660587,3,gru,120,True,PRUNED
39,0.21901528013582344,True,0.4,128,0.0001302447802143943,3,gru,60,True,PRUNED
